# schema=nsb-healpix-starlight-candidate-v5
# map_type=healpix
# coordinate_frame=galactic
# ordering=nested
# representation=sparse
# omitted_pixel_semantics=zero_flux_and_source_counts
# nside=128
# flux_quantity=integrated_per_pixel
# flux_unit=ph_m-2_s-1
pixel,flux_ph_m2_s,statistical_uncertainty_ph_m2_s,systematic_uncertainty_ph_m2_s,total_uncertainty_ph_m2_s,admitted_sources,excluded_sources
5546,2.75929981354779191e7,1.74692284361535538e5,6.75100677573915687e5,6.97336589514856692e5,1110,83
5547,2.74751246244898885e7,1.81279207377603889e5,6.31912605377894826e5,6.57400708748424891e5,1078,90
5548,4.97305211690596864e7,7.86185901848910260e5,8.58461611001884681e5,1.16406383408726146e6,1061,71
5549,1.11260963010583855e7,7.07925200236954261e4,2.73781239635104081e5,2.82785692826634389e5,1079,79
5550,1.23148994475408178e7,8.01018136450570310e4,3.20950094150473655e5,3.30794896400209516e5,1035,65
5551,6.52834239665790368e6,2.91772298165283501e4,2.06512009958606242e5,2.08562990477481391e5,1018,78
5552,1.05185691557432078e7,4.57072820028312926e4,3.12307238219914841e5,3.15634229247458163e5,1016,100
5553,1.30788897211229987e7,7.34064645465163921e4,3.64714612777993549e5,3.72028571229443012e5,1009,101
5554,1.71223471532410122e7,9.13867581007482077e4,3.86122324812145845e5,3.96789603284285811e5,976,144
5555,1.19164662537919860e7,8.17587025708609726e4,3.34454046284648008e5,3.44302184893218451e5,964,118
5556,1.51919461287593469e7,7.23795134422030242e4,3.62510644123556907e5,3.69665742352474655e5,1018,109
5557,3.67354658195949942e7,2.20781964618935715e5,6.02574357687351294e5,6.41748028780237772e5,981,106
5558,1.87355631860157400e7,1.72654214997191855e5,3.96393382079204486e5,4.32362337990355911e5,1022,160
5559,1.71421293143029995e7,1.45308646073270269e5,4.50287562754175917e5,4.73152715087573859e5,979,107
5560,2.01635584187885411e7,1.66180346725369454e5,4.37310703035938670e5,4.67821075441830617e5,1067,90
5561,2.39425277508635446e7,1.79621062977902824e5,4.95291892544135510e5,5.26856512805206934e5,1002,93
5562,1.23146809861501977e7,1.29446859165562142e5,3.49247209715116187e5,3.72464901489554089e5,974,86
5563,2.08265819847894199e7,2.55129492081551376e5,5.22062870296678913e5,5.81068583105469006e5,978,106
5564,2.04478828357936740e7,1.02311385962184053e5,4.40301747442294145e5,4.52032353375552979e5,1059,104
5565,2.35248989241860360e7,1.58585004882139183e5,5.81707392921663239e5,6.02936725331262569e5,1043,140
5566,1.35325185918891691e7,8.81865142864938098e4,3.33199148190714594e5,3.44671631639477622e5,981,84
5567,1.67121963647611309e7,2.19881729207340657e5,4.58408997359581292e5,5.08415955394229211e5,1025,129
5568,1.05173538580503985e7,4.66651831919309407e4,2.81848532929367269e5,2.85685552376687585e5,1036,168
5569,1.06650036669606492e7,4.39771841264255345e4,2.75502726512755500e5,2.78990582349389850e5,1010,100
5570,6.44544289081303701e7,1.19205797511087195e6,1.42243036011832836e6,1.85588532657914772e6,1075,99
5571,1.45969184842798505e7,9.82640022216080833e4,3.69944423432847252e5,3.82772374344949261e5,1022,136
5572,2.29949830342335366e7,3.54775827754596772e5,6.35703145160864806e5,7.28000258740596124e5,1001,76
5573,1.02452182641492076e7,9.49629689169873454e4,2.72102324762069620e5,2.88197225188674405e5,605,47
5574,2.37609433706262223e7,1.99921579813228745e5,5.56080106788524427e5,5.90926157181211514e5,973,112
5575,5.29686406340617128e6,1.08909193818043277e5,1.52683145346155419e5,1.87545608775282541e5,302,35
5576,2.07196870337895870e8,8.66797811664690822e6,8.04636037355938833e6,1.18269928507569693e7,1052,78
5577,1.68826254174229875e7,8.19049572768612416e4,3.93395088646345539e5,4.01830956743741350e5,1002,77
5578,3.15665299276758954e7,3.27311347368637973e5,7.75578553191898740e5,8.41816375635157223e5,1024,98
5579,1.57981710001531858e7,8.30909954462049209e4,3.28662069473559095e5,3.39002757267376583e5,993,83
5580,1.30730617272685748e7,9.50893331658346142e4,3.58368248706652026e5,3.70769177471639239e5,945,104
5581,8.16510813851496670e5,8.19376212472041698e3,2.18214880314331567e4,2.33091200533714546e4,65,7
5582,1.67011137909166869e7,2.55818214151434804e5,4.87355464115697832e5,5.50416485122908140e5,803,106
5600,1.39630590829003565e7,1.31211030657252588e5,4.88012514575610461e5,5.05343990711820836e5,946,105
5601,9.50373067222680710e6,4.92665652136712743e4,2.81479019713023852e5,2.85757997239898425e5,955,81
5602,1.04141648678552713e7,5.48301837091368798e4,2.79730121263361885e5,2.85053135025020980e5,902,112
5603,5.82223404977515619e6,3.96990484794743752e4,2.02225162333053391e5,2.06085008505726699e5,945,94
5604,6.56266881553854235e6,5.17965573905482815e4,1.87065998197558452e5,1.94104536369352543e5,540,70
5606,3.28748184738468146e6,2.69067094944266828e4,8.36219594316779257e4,8.78441979587192764e4,285,42
5608,1.75774069223953448e7,9.30879811150461901e4,3.25245852453268366e5,3.38304946410968725e5,915,93
5609,1.15596955332998484e7,4.99060708442947798e4,2.83732300111937104e5,2.88087892897161015e5,925,68
5610,1.69812645721644089e7,1.41421808871179150e5,4.02369460331034672e5,4.26498898745922197e5,910,79
5611,2.40615325125277676e7,1.92977978843727789e5,5.84421732649746817e5,6.15458578550938983e5,779,81
5612,4.84393840676978580e5,4.74244030618460056e3,1.62679004762545283e4,1.69450678949081412e4,73,4
5717,5.19909614097960573e6,2.90329044894663239e4,1.37854397535432159e5,1.40878474093636614e5,375,31
5719,2.02895290613796040e7,3.15529144573487749e5,3.86274066628855129e5,4.98764769831701473e5,657,52
5724,8.85888024881521005e2,1.42477474802143462e2,5.34991363808366941e2,5.53638501348607292e2,5,1
5725,2.86031615188918412e7,4.80057481683389749e5,7.81936298530173837e5,9.17539950454075471e5,985,71
5726,1.31918400622554356e6,7.27075970413765936e3,4.48935343935386336e4,4.54784935658509712e4,226,29
5727,1.65102950657208599e7,1.04171893179863604e5,4.15228002680744394e5,4.28095874237205368e5,1073,91
5748,5.43262467772916239e6,3.93890332555938221e4,1.47238637291199586e5,1.52416246680528478e5,526,54
5749,3.21188284099462777e7,3.13516869765716721e5,9.17727499231766677e5,9.69802346085987636e5,1095,75
5750,1.43328705891983584e7,2.59323387463040854e5,4.28515227183287439e5,5.00873156810435234e5,814,65
5751,6.71692498335027844e7,8.37556659898559796e5,1.26952258478609589e6,1.52091707591913175e6,1038,95
5753,9.39811989265007433e4,7.78058451643714989e2,8.13321832046349664e3,8.17034976010802529e3,72,6
